,job_id,title,job_rate,parsed_skills,requested_experience
0,eyJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIiwiZmMiOiJFb3dDQ3N3QlFVeFBibkJaV0hsc1VIRlRSUzFzV2t4bmRVNVJNemhuV2xCUlJUUXdWekJRV1VaRUxYcEJSSFpvZEVkTk5XbFVhbEZ1T1ZkRWJUbHFYelZmWmxKUmJHNVlSV2g1TVZaWFpqWklTbHBaZGpWeGNUTlZSM2hmUkRoWGJsRnpRV0ppWTBkbVZtMUlaazAxVGxsMmRYZDVSSGQ2UzBscmVVUm1jWFJWVlc1SVJqTTJZMEpWVDFBM0xVSm1PREJMYkdOWFJYZFpWMUZ4VTBsVGJWYzNSak5aYjFoemFYQkVVeTFPWWpsdWQyTmlTVkJNVVRWcWFHbGpkbE5mZDNkeWQySTJlVjl2WjJWcFNuZGZSRkJyRWhkWFNFb3RXbVpoYWtnMVgwOHdVRVZRYVRsRE9HZEJheG9pUVVwM2F5MDRaVVpSYVZOSk0weHlTbkJwVG5Kc1owTlhXVFUzWWxSVGFEZDZRUSIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzYiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgb24gSm9iQWZmYWlyczR1LmNvbSIsImxpbmsiOiJodHRwOi8vMTczLjE5OS4xNzguNDUvbWlzc291cmkvam9wbGluL2RhdGEtYW5hbHlzdC8/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,Data Analyst,84,"sql, excel, javascript, spss, sas",25.0
1,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QsIExveWFsdHkgVGVhbSIsImh0aWRvY2lkIjoiNTJWaUhGR0IyQXdBQUFBQUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiIsImZjIjoiRXVJQkNxSUJRVUYwVm14aVFUUkNlRFZTVTBoQk1sQXlRMHhVY2kxMGJFbHFlSGh2T1hWaFRYaENkeTFNZFROQ1dtcDFNRWxmV0RaTWVGSmpZMDFHV2pGdmJWcENhM0pQVTBvNVIwVkRXa05RUW10U1FYWnRNM3BqZDA5S2JXZEJkM1JSZFhvMU9UZGpUbmhWTm5FMlNGOTRSVU5TZUZKM1NteHdTVUZJWVRSMFJraGlhekpNWlRWcFNUbFJSRXgzZG1aeU5GSndVbk01TkdzNU0wb3dWbEkyVldKTldUWjNFaGQ2WnkxUldUVkRUMHhmUjNWeGRITlFjVzlMVjNGQlJSb2lRVVJWZVVWSFptaFlPVmREUzFORVVqQjBaVE0xWlhGR2JEa3RYMTlwY1ZjMlFRIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMTEiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgb24gS0hPTjIgSm9icyIsImxpbmsiOiJodHRwczovL2pvYnMua2hvbjIuY29tL2pvYnMvZGF0YS1hbmFseXN0LWxveWFsdHktdGVhbS11bml0ZWQtc3RhdGVzLzgxNjAzMzA4Mi0yLz91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,"Data Analyst, Loyalty Team",84,"tableau, r, sql, python",10.0
2,eyJqb2JfdGl0bGUiOiJEYXRhIGFuYWx5c3QiLCJodGlkb2NpZCI6IjVsQ0RjSHFSOGFjYk1hai1BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4iLCJmYyI6IkVvd0NDc3dCUVV4UGJuQlpWalpUZDNNNVoxUklhbUZ2WlZsNWRIRnhUMFI0WjB4WWRqRndNbnBDTVY5dGVtbGhXbGhOU1hGc00xa3RVbmczZG5GUWRXNXRRVlJ5VFdKNFZWZHhaRzQxTUZZemExbEdiVFZ6U2w4NFh6aFBVVEZqY2tsS1VHVmlkR2xmT0RKWVRtYzJlR3BNVEc4M2MyUjRReTFXVlVWdFFrWjNkMUZmZGsxQk4ySmFlRzFUV1hGM2RFNW5Xazl6WjBwdE0wRkNPSGx4T1c5UWFHSkZiR3RaV2kxT0xVdEhhMnRzWVUxMmF6TnJOVFpsVTNGUlQzaFRPREZCVFZoSlIwZHlSa1JDVTA1VFYxOXJFaGQyVEVWTVdtUnBUVVp2UTBWNFl6aFFjbkZMUnpaQldSb2lRVXAzYXkwNFpubG9UMjFKWldOcFlVVXhjV1JUZG1WamR6TlFTV1p2V0hNd1FRIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfOSIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBcHBseSBkaXJlY3RseSBvbiBVcHdvcmsiLCJsaW5rIjoiaHR0cHM6Ly93d3cudXB3b3JrLmNvbS9mcmVlbGFuY2Utam9icy9hcHBseS9EYXRhLWFuYWx5c3RffjAxMWQ0MDBjOTBjOWEyNTBmMS8/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,Data analyst,84,Excel,16.0
3,eyJqb2JfdGl0bGUiOiJBcnRpZmljaWFsIEludGVsbGlnZW5jZSBFbmdpbmVlciAoUmVtb3RlKSIsImNvbXBhbnlfbmFtZSI6IkZvcmQgTW90b3IgQ29tcGFueSIsImFkZHJlc3NfY2l0eSI6Ik9rbGFob21hIENpdHksIE9LIiwiaHRpZG9jaWQiOiIwUC1KTldMNUxtZklxN19aQUFBQUFBPT0iLCJnbCI6InVzIn0=,Artificial Intelligence Engineer (Remote),84,"Machine Learning, AI, Software Development, Data Engineering, MLOps, Generative AI, Technical Writing, Oral Communication, Problem Solving, Bachelor's Degree",29.0
4,eyJqb2JfdGl0bGUiOiJBc3NvY2lhdGUgQUkgRW5naW5lZXIiLCJjb21wYW55X25hbWUiOiJPbmVTdHJlYW0gU29mdHdhcmUiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJSSDVQbGdLejlJajhtSFZSQUFBQUFBPT0iLCJnbCI6InVzIn0=,Associate AI Engineer,177,"Python, C++, Java, Data analysis, Machine learning, Data science, Production deployment, Problem solving, Communication, Teamwork",10.0
5,eyJqb2JfdGl0bGUiOiJTciBEYXRhIEFuYWx5c3QiLCJodGlkb2NpZCI6InREZmNfOVA4M3BjQUFBQUFBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4iLCJmYyI6IkV2Y0JDcmNCUVVWek4ycE9VakZTWmtReldVRnFOa0p5TkdwWFVUQlRUVFpmTldaR0xUUlljRE5rYVVSeFoyWnlPVWhFUlVWaU1uVXlXRkIwYzJWcFNrOXRZbEJ1TTNsRFRIcFFiSEUwVVMxWVZtcHpkMHRETXpZNU5EZE5ha3N5VVVsRk9FdElURUZKVkc5T1NUVXpiVEpzZDIxMlpXbERUVFU0VjBSTVRYTXhaWEl4U0U1cVdFUTNPRTl5ZVU1cExXWjViWE56ZFVsVlZFcE5Oa1IzVEZGV1psUkZiV0V5YkhKNVh5MU1iWGxZWjBwM1VrRlVRVWxLYlVkVkVoZDNWRnBNV2s1eFNrVndhVXgzWW10UU9WOTFibk5CYnhvaVFVOHRNSEpzTjFoTFZUWkpTRFphTm1ZMFJFMVpVMFpPTVdWTGNtUm9kV3hoVVEiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY18xMSIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiJBcHBseSBvbiBJbmRlZWQiLCJsaW5rIjoiaHR0cHM6Ly93d3cuaW5kZWVkLmNvbS92aWV3am9iP2prPTc1YzM5YWJkODVjYTEwM2NcdTAwMjZ1dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,Sr Data Analyst,84,"azure, sql",5.0
6,eyJqb2JfdGl0bGUiOiJTb3VyY2luZyBEYXRhIEFuYWx5c3QiLCJodGlkb2NpZCI6IjJnWTBSUDh4R0ZKVWJ4bkhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4iLCJmYyI6IkVvd0NDc3dCUVV4UGJuQlpWbWxVYWxSd09DMVRkRmRJWjNsalpEZFllV3M0TlY5VlRHUk5RV3hXU0RGSldYWlRNMDFpV0dKd09YVnlkRU5SVmt4RlJsUnFZbUZhVm5WUk1WSktVVGxwZFZSblZUVjZiVFZpZDFvNE15MXpNVk0yZGxBM01WWk5VR2hZWmt4Zk16UTBiVGQxVVhSdlRWZFVaVUV0VldwcE5EZFplbEpEWTNJMk5FNVVkbU16VURWdmFrbGtUM296YjBsQlltVjBNMDlMU3padVFVeGZVMVZGYnpJdFdWWXlZVGwwV0VGNVRqbHZRM0ZsWlVGcFQyZGFRbWhIUW5aUmRrZDBTVkUzWkRaeFNYcExFaGRRTkRoWVdsbEVka3RPTm1oclpGVlFlRGR0TURSQlZSb2lRVXAzYXkwNFkxTnJSMVY2UnkxcGVURnlkMFJaVEVKdWNsUTNNRGxzYm1ReFVRIiwiZmN2IjoiMyIsImZjX2lkIjoiZmNfMSIsImFwcGx5X2xpbmsiOnsidGl0bGUiOiIubkZnMmVie2ZvbnQtd2VpZ2h0OjUwMH0uQmk2RGRje2ZvbnQtd2VpZ2h0OjUwMH1BcHBseSBvbiBMaW5rZWRJbiIsImxpbmsiOiJodHRwczovL3d3dy5saW5rZWRpbi5jb20vam9icy92aWV3L3NvdXJjaW5nLWRhdGEtYW5hbHlzdC1hdC1weXJhbWlkLWNvbnN1bHRpbmctaW5jLTM3MzAyNTM0NTI/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,Sourcing Data Analyst,84,"sap, excel, word, powerpoint, sharepoint",3.0
7,eyJqb2JfdGl0bGUiOiJQb3dlciBCSSBEYXRhIEFuYWx5c3QgLSBDb250cmFjdCB0byBIaXJlIiwiaHRpZG9jaWQiOiJockZSMXVIZTZSOEFBQUFBQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIiwiZmMiOiJFb3dDQ3N3QlFVMXJNbXhzU1dGMVpYUmhjMEpJU2kxZlFVcG5TSEpPVG5wR1FYZFdNMHAwVjNkSE0ycDVhazFUYTAxek16RnhhRkJaUkVsMFVsTkRlVTR6Y0RkemJsSnpORGwwTnpaNVVrbEdaV0ZVUWkwNFMwVjBVRGh1VVZGcFJEQlhOalYxY1ZwcUxUZE9la1F0ZDFReWFsSTVOalF3WkdsbFRHOWpUa00wV1VVNGN6aEdXWHBPZG05WlFWZ3ljVXN4UkU4eFRITTRYMlpxVWt4eVZHdHRSbkpqYTB0bVNFRmhVWE5MYUVsNllqWjVNbUoyUmxSTE9WZFNOVXA2UzBKV09XSkpkSFJFZVZaS2NtSTFWVUZ4RWhkNE1tbDJXazFVUWt0TGJYTnJaRlZRTnpaNVVqUkJieG9pUVV4RlV6bDFUMmxKVTBsQk1rbGFTMDFZY2xCT1lUQXhOM0pPY0ZKcmVVOUJVUSIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzUiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiQXBwbHkgZGlyZWN0bHkgb24gVXB3b3JrIiwibGluayI6Imh0dHBzOi8vd3d3LnVwd29yay5jb20vZnJlZWxhbmNlLWpvYnMvYXBwbHkvUG93ZXItRGF0YS1BbmFseXN0X34wMTdiZWZiMjk0ZWRlZDIyNjcvP3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,Power BI Data Analyst - Contract to Hire,84,"power_bi, word",14.0
8,eyJqb2JfdGl0bGUiOiJTZW5pb3IgU29mdHdhcmUgRW5naW5lZXIgfCBSZWFjdCBcdTAwMjYgTm9kZS5qcyB8IFN1cHBseSBDaGFpbiBcdTAwMjYgTG9naXN0aWNzIFRlY2giLCJjb21wYW55X25hbWUiOiJNTUQgU2VydmljZXMiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJ6bUZVZHFzSEN3dmo5aUpJQUFBQUFBPT0iLCJnbCI6InVzIn0=,Senior Software Engineer | React & Node.js | Supply Chain & Logistics Tech,84,"JavaScript, React.js, Express.js, Node.js, REST APIs, microservices, service-oriented architecture, real-time data processing, event-driven systems, software development",14.0
9,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QgLSBFeGNlbCwgUG93ZXIgQkkiLCJodGlkb2NpZCI6ImdDWDJsY0ZMOWhnQUFBQUFBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4iLCJmYyI6IkV2Y0JDcmNCUVUxck1teHNUSEptV2xrNE5XMWpaVmxqTWtSQ01WSk5WRE5FZVU5NExXdHZNR2xCTmxSeU9YSjFkM1I1UkVVeWRYSkNlVU5wUkUxd1ZqRnZPRzVSU25ab05ESkhjREV0ZDA5eVlXTldaVXN0YUVodk9FcFZOM0JCU1UxUFVrbEVVVmx6WW5FMFRWb3pVVmRJVlZCRWJtdHpUVnAxTWxGRk5uaFpWR050TjAxaGREUjNVV2htWVdwS01HTjFabkE0TXpneFlqWk5VMDg1UkdsMlIzTndhbFpuZG5oaFVtczFNV1JhUkVVMlYwWjVWVE5WYkRGM0VoZDJZMWR6V2tzM1gwZGZlV3cxVG05UU5tTjViM0ZCT0JvaVFVeEZVemwxVFRWYWQyeFdObnA2VlZkUlgwcDVSekF3UWtKRE4zWnNNRTFvUVEiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY184IiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFwcGx5IGRpcmVjdGx5IG9uIFVwd29yayIsImxpbmsiOiJodHRwczovL3d3dy51cHdvcmsuY29tL2ZyZWVsYW5jZS1qb2JzL2FwcGx5L0RhdGEtQW5hbHlzdC1FeGNlbC1Qb3dlcl9+MDFiODRhOTI0ZjcyOGIxNDZiLz91dG1fY2FtcGFpZ249Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fc291cmNlPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX21lZGl1bT1vcmdhbmljIn19,"Data Analyst - Excel, Power BI",84,"excel, power_bi, dax, spreadsheet",21.0
